source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Myeloid,PVL,APOE,SDC2,1.3785312,0.0,1.3775606,0.7944287073009104,2.5039929850798863,0.24515286,0.923464,0.008250843821393183,0.05194738170784549
Cancer Epithelial,Endothelial,HMGB1,THBD,1.6196699,0.0,1.1954998,0.782160656156389,1.2934520090324033,0.15317774,0.9183019,0.017688151342452645,0.053389927879080354
Cancer Epithelial,Cancer Epithelial,PTN,SDC1,0.18997318,0.026,0.035932098,0.14596107682942477,-0.03191543447905598,0.06921594,0.660865,0.6425863248530291,0.05445410430038297
CAFs,Plasmablasts,LGALS1,CD69,1.7369701,0.0,1.1897987,0.4801824183749105,0.7432406242511668,0.04589805,0.9181224,0.28064620589980493,0.05485103442130667
Endothelial,Myeloid,FN1,PLAUR,1.359451,0.0,1.5703143,0.4155486961612766,0.49690606011591143,0.051227238,0.9279656,0.20713640972054737,0.05485103442130667
Endothelial,Cancer Epithelial,HSPG2,ITGB1,1.3590131,0.0,1.845436,0.7336484669265387,1.3964078334825494,0.18433118,0.9331784,0.017688151342452645,0.055588527598015774
Myeloid,CAFs,FN1,PLAUR,1.3540773,0.0,1.6936506,0.2964245876553073,0.4170788758237183,0.055250753,0.93045217,0.20048959567003255,0.05633065252358882
CAFs,PVL,COL1A2,ITGA1_ITGB1,2.004249,0.0,1.174637,0.8272525800916831,2.5688149531318736,0.3388703,0.9176391,0.0031744476547659966,0.05782873337499122
CAFs,Cancer Epithelial,LGALS3BP,ITGB1,1.3503842,0.0,1.8213186,0.47814206848831114,0.7239377541708936,0.0861241,0.93276715,0.06493311531197306,0.05858468718242346
PVL,T-cells,LGALS1,ITGB1,1.3498259,0.316,1.271354,-0.007342798561410013,0.03889172171502242,0.020502575,0.92058,1.0,0.059345228164578295
Endothelial,B-cells,EFNB2,PECAM1,0.20025358,0.15,0.0361304,0.19328132288830346,0.17824203739162325,0.062083576,0.6614815,0.723338603030955,0.05937154292366524
CAFs,T-cells,TIMP1,CD63,1.3496443,0.987,1.4887798,-0.0954191937003373,-0.0147403836831832,0.019784309,0.9261631,1.0,0.06011037069881539
CAFs,CAFs,MDK,LRP1,1.3475091,0.0,1.1905293,0.5995589810484492,1.6110285114168597,0.1654756,0.9181455,0.017688151342452645,0.06088008808141443
Endothelial,B-cells,APP,CD74,1.3463578,0.201,1.3742964,0.2304759065721946,-0.21131174753458382,0.041238572,0.9233801,0.9790606215180723,0.061654394936824314
Endothelial,PVL,VWF,ITGB1,1.3358674,0.0,1.77967,0.7683315595770884,2.2602353554428034,0.18059143,0.9320381,0.017688151342452645,0.06243326431456403
