PC1_loading,PC2_loading,Ensembl_ID_versioned,Ensembl_ID,gene_symbol
-0.022476133196061922,0.021887206330463545,ENSG00000252621.1,ENSG00000252621,Y_RNA
-0.012446903602591599,-0.00025182513243073425,ENSG00000164326.5,ENSG00000164326,CARTPT
0.022610274560516876,0.002191713417279948,ENSG00000205426.10,ENSG00000205426,KRT81
0.029780699422267777,0.004921227420814376,ENSG00000261175.6,ENSG00000261175,LINC02188
0.01195168612208599,-0.006573184169495925,ENSG00000197172.10,ENSG00000197172,MAGEA6
-0.014282566667552631,0.01535088874233843,ENSG00000081479.15,ENSG00000081479,LRP2
0.005522465201207724,0.020878893289020543,ENSG00000162896.6,ENSG00000162896,PIGR
0.01603293259153357,-0.0023708288674778202,ENSG00000259439.2,ENSG00000259439,LINC01833
-0.023003151291456313,0.022170928651460958,ENSG00000196090.12,ENSG00000196090,PTPRT
-0.013438584370040762,0.012650913362203125,ENSG00000184564.11,ENSG00000184564,SLITRK6
-0.019960367281589307,0.010709944131666135,ENSG00000101098.13,ENSG00000101098,RIMS4
0.0016091133649529198,0.019234548095522965,ENSG00000171199.11,ENSG00000171199,OPRPN
0.0029341888306286014,0.006991022163137084,ENSG00000168269.10,ENSG00000168269,FOXI1
0.026524348927926326,0.0081399007492651,ENSG00000268104.3,ENSG00000268104,SLC6A14
